Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Delivery_Percent
2021-09-17,PIDILITIND,2368.45,-1.3577393223798073,558808,110002.0,5.079980363993382,170974,64.77
2021-09-17,TATASTEEL,1385.9,-3.539237863232985,7796326,1744938.0,4.467967343252311,1744938,39.83
2021-09-17,DALBHARAT,2298.1,-3.792858039938038,940505,223207.0,4.213599931901777,311634,87.4
2021-09-17,PIIND,3464.25,0.29820929660244594,179316,43578.0,4.114828583230071,146912,49.35
2021-09-17,PFC,138.3,1.4301430143014426,6905821,1727665.0,3.997199109781121,3648032,56.12
2021-09-17,BERGEPAINT,818.75,-1.7932109871656525,704196,176791.0,3.9832118150810842,225852,64.91
2021-09-17,RELIANCE,2390.55,-1.5505312577217543,9460717,2473588.0,3.8246939263935626,2491875,58.77
2021-09-17,BAJAJ-AUTO,3822.2,0.2281368821292728,810251,215095.0,3.766944838327251,483586,62.1
2021-09-17,SUNPHARMA,769.9,-1.427565456756927,2606217,692079.0,3.7657796292041805,692798,64.31
2021-09-17,LAURUSLABS,651.15,0.20775623268698412,3582510,977081.0,3.666543510722243,1137785,47.96
2021-09-17,BRITANNIA,4051.85,-0.5204944697462657,479581,130976.0,3.6615944905936963,191209,77.16
2021-09-17,CANFINHOME,608.0,-2.525050100200401,655149,181143.0,3.6167503022473957,348093,33.78
2021-09-17,ASIANPAINT,3303.05,-1.1684270368929632,1045810,291198.0,3.5914051607497304,354905,67.66
2021-09-17,ACC,2394.85,-1.4343334568053634,277140,78630.0,3.5246089278901183,78630,51.5
2021-09-17,BIOCON,377.4,0.172528201725276,4682799,1371649.0,3.4139922093771804,1371649,25.32
2021-09-17,GRASIM,1568.8,-0.6113592448287934,1107314,327816.0,3.377852209776216,396847,56.59
2021-09-17,ASTRAL,2120.75,-0.31727379553466506,237764,71666.0,3.317668071330896,136801,63.46
2021-09-17,RECLTD,157.05,0.47984644913627633,3690115,1117623.0,3.3017529166812065,2894638,52.23
2021-09-17,HDFCLIFE,747.75,-0.9799377607097898,7403914,2257880.0,3.27914415292221,2257880,63.49
2021-09-17,IOC,118.25,-0.08449514152935726,19974157,6091635.0,3.2789484268180873,6255105,57.57
2021-09-17,NMDC,147.4,-3.090072320841544,11412647,3570744.0,3.1961537987601463,3637439,55.05
2021-09-17,TORNTPHARM,3097.2,-0.54748334269889,58894,18981.0,3.1027869975238396,35658,47.2
2021-09-17,BAJAJFINSV,16840.2,0.640650212155625,123185,40286.0,3.0577620016879314,54257,18.81
2021-09-17,OFSS,4790.8,-0.34322800740540427,200529,65710.0,3.051727286562167,70165,66.64
2021-09-17,KOTAKBANK,2007.95,5.3046989720998585,9086311,2982319.0,3.0467267250753522,3601404,62.07
2021-09-17,ULTRACEMCO,7711.85,-0.690236882601774,334847,111999.0,2.989732051179028,133320,66.54
